instruction,input,news_publisher,event_date,english_comment_text,thai_comment_text
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `It's an excuse. You don't even wear a mask and you're still trying to act smart. 20,000 baht is appropriate for someone who talks like this.  Actually, if we don't wear a mask when we go to the market, someone will warn us. You have good words, why don't you say them? They tried to be kind enough to warn you.` on topic of `fask masks`",THAIRATH TV Originals,2021-05-11,"It's an excuse. You don't even wear a mask and you're still trying to act smart. 20,000 baht is appropriate for someone who talks like this.  Actually, if we don't wear a mask when we go to the market, someone will warn us. You have good words, why don't you say them? They tried to be kind enough to warn you.","มันเป็นคำแก้ตัว หน้ากากอนามัยก็ไม่ใส่ยังจะมาทำเป็นปากดี  20,000 เถอะค่ะคนปากดีอย่างนี้  จริงๆแล้วเราไม่ได้ใส่หน้ากากอนามัยเราออกไปเดินตลาดมันก็ต้องมีคนเตือนเราอยู่แล้ว  มีคำพูดดีทำไมไม่พูด  เขาอุตส่าห์หวังดีเตือน"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `I sympathize with both sides, but the woman should have controlled her emotions better and not used sarcasm. As for the security guard, was he really just doing his job in this case? It's something to think about. What if it was a resident who lived alone, forgot to wear a mask, and couldn't go up to their room? That would be really unfortunate. Where would they get a mask? Sometimes rules need to be flexible.` on topic of `fask masks`",THAIRATH TV Originals,2020-06-21,"I sympathize with both sides, but the woman should have controlled her emotions better and not used sarcasm. As for the security guard, was he really just doing his job in this case? It's something to think about. What if it was a resident who lived alone, forgot to wear a mask, and couldn't go up to their room? That would be really unfortunate. Where would they get a mask? Sometimes rules need to be flexible.","เห็นใจทั้ง 2 ฝ่าย แต่ฝั่งผู้หญิงควรควบคุมอารมณ์มากกว่านี้ ไม่ใช้วาจาเสียดสีคน
ส่วน รปภ. เคสนี้ทำตามหน้าที่จริงๆหรือเปล่า 
น่าคิดนะถ้าเป็นลูกบ้านอยู่ห้องคนเดียว ลืมสวมหน้ากากดันขึ้นห้องไม่ได้ซวยพอดีดิแบบนี้
จะไปหาหน้ากากมาจากไหน บางทีกฏมันก็ต้องยืดหยุ่นบ้า"
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Just because they didn't put on a mask, didn't wear it properly, does it mean they should be deported? I feel sad.` on topic of `fask masks`",THAIRATH TV Originals,2020-02-07,"Just because they didn't put on a mask, didn't wear it properly, does it mean they should be deported? I feel sad.",แค่ไม่เอาหน้ากาก ไม่ใส่หน้า ถึงกับจะไล่ออกจากประเทศเลยหรือ เสียใจอ่ะ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Even with a mask on, you can still get infected. If you take it off... How clever 🙄🙄🙄🙄🙄` on topic of `fask masks`",THAIRATH TV Originals,2022-03-16,"Even with a mask on, you can still get infected. If you take it off... How clever 🙄🙄🙄🙄🙄",ขนาดใส่แมสยังติดถ้าถอดออกมาแล้ว......ช่างคิดดีแท้🙄🙄🙄🙄🙄
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `I will definitely not take off my mask now because I'm not sure (if it's safe).` on topic of `fask masks`,THAIRATH TV Originals,2022-06-28,I will definitely not take off my mask now because I'm not sure (if it's safe).,ตอนนี้ไม่ถอดหน้ากากอนามัยเด็ดขาดเพราะไม่มั่นใจ
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Villagers have been taking off their masks for a long time, lol.` on topic of `fask masks`",THAIRATH TV Originals,2022-06-17,"Villagers have been taking off their masks for a long time, lol.",ชาวบ้านเค้าถอดแมสกันตั้งนานแล้ว 555
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Don't use their services. They're bad. Many people are infected in Nonthaburi. The police should fine them twenty thousand, don't reduce or postpone it, or they'll just take off their masks again.` on topic of `fask masks`",THAIRATH TV Originals,2021-04-25,"Don't use their services. They're bad. Many people are infected in Nonthaburi. The police should fine them twenty thousand, don't reduce or postpone it, or they'll just take off their masks again.",อย่าไปใช้บริการ ชั่วนัก แถวนนทบุรีติดมากมาย. ตำรวจปรับไปเลยสองหมื่น อย่าไปลดผ่อนผัน เดี๋ยวพวกมันก็ถอดแมสอีก
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.",Identify the stance of tweet: `Someone should ask the Prime Minister to wear a mask like the people have to. Wearing a mask like that can't even protect against the smell of shit.` on topic of `fask masks`,THAIRATH TV Originals,2020-03-25,Someone should ask the Prime Minister to wear a mask like the people have to. Wearing a mask like that can't even protect against the smell of shit.,ใครแบบหน้ากากให้นายกออกแบบให้เหมือนประชาชนใช้บ้างสิใส่แบบนี้ป้องกันกลิ่นขี้ยังไม่ได้
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `Our country wasn't hit as hard because before Covid, we had dust pollution, so we were already used to wearing masks every time we left our homes. Moreover, Thai people are very disciplined in taking care of themselves. Excellent!` on topic of `fask masks`",THAIRATH TV Originals,2020-05-15,"Our country wasn't hit as hard because before Covid, we had dust pollution, so we were already used to wearing masks every time we left our homes. Moreover, Thai people are very disciplined in taking care of themselves. Excellent!",ประเทศเราที่ไม่หนักมากเพราะก่อนหน้าโควิดมามีฝุ่นเราเลยต้องใส่แมสตลอดเวลสที่เราออกนอกบ้าน อีกอย่างคนไทยเรามีวินัยมากในการดูแลตัวเองได้ดี สุดยอด
"You are a helpful assistant tasked with analyzing the stances of tweet authors in tweets related to `fask masks`. Determine whether each tweet expresses a Favorable, Against, or Neutral stance.","Identify the stance of tweet: `😷😷😷😷😷😷😷😷😷😷😷Being a mother, she didn't wear a mask properly!😷😷😷😷😷Two kids! Not wearing masks?😷Forgot?! Like, intentionally! Making excuses! 😷😷What if they get infected?! Or spread the virus?! 😷😷Medical personnel are tired! Taking care of patients! 😷😷This needs to change! Don't let this be an example! 😷😷Kindness might turn into wrong help! Leading to the spread of the virus.` on topic of `fask masks`",THAIRATH TV Originals,2021-05-11,"😷😷😷😷😷😷😷😷😷😷😷Being a mother, she didn't wear a mask properly!😷😷😷😷😷Two kids! Not wearing masks?😷Forgot?! Like, intentionally! Making excuses! 😷😷What if they get infected?! Or spread the virus?! 😷😷Medical personnel are tired! Taking care of patients! 😷😷This needs to change! Don't let this be an example! 😷😷Kindness might turn into wrong help! Leading to the spread of the virus.",😷😷😷😷😷😷😷😷😷😷😷เป็นแม่.ใส่แมสก์ขาด.!😷😷😷😷😷ลูกสองคน.! ไม่ใส่.?😷ลืม.! แบบเจตนา.! แก้ตัว.!😷😷ติดขึ้นมา.! หรือมีเชื้อไปแพร่.!😷😷บุคลากร.! ทางการแพทย์.!😷😷เหนื่อย.! คอยรักษา.!😷😷ต้องปรับ.! อย่าให้เป็นเยี่ยงอย่าง.!😷😷คนใจบุญ.! อาจเป็นการช่วยเหลือ.! ที่ผิด.! เกิดการแพร่เช
